,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,auc,avg_node_degree,degree_null_auc,is_immune
GO:0016075,GO:0016075,rRNA catabolic process,3/81,21/18722,9.81E-05,0.172445436,0.161903146,EXOSC10/XRN1/DROSHA,3,0.636666667,1.839104227,0.493333333,0
GO:0043101,GO:0043101,purine-containing compound salvage,2/81,10/18722,0.000813446,0.220571821,0.207087369,AMPD3/PRTFDC1,2,0.396039604,1.738076864,0.361386139,0
GO:0034661,GO:0034661,ncRNA catabolic process,3/81,43/18722,0.000849904,0.220571821,0.207087369,EXOSC10/XRN1/DROSHA,3,0.636666667,1.839104227,0.493333333,0
GO:0071044,GO:0071044,histone mRNA catabolic process,2/81,11/18722,0.000991421,0.220571821,0.207087369,EXOSC10/XRN1,2,0.643564356,1.960447151,0.668316832,0
GO:0140052,GO:0140052,cellular response to oxidised low-density lipoprotein particle stimulus,2/81,12/18722,0.001186368,0.220571821,0.207087369,AKT1/ADTRP,2,0.732673267,2.171266976,0.683168317,0
GO:0007140,GO:0007140,male meiotic nuclear division,3/81,50/18722,0.001320777,0.220571821,0.207087369,TDRKH/REC8/ZSCAN21,3,0.61,1.675344959,0.216666667,0
GO:0071027,GO:0071027,nuclear RNA surveillance,2/81,13/18722,0.001398139,0.220571821,0.207087369,EXOSC10/XRN1,2,0.643564356,1.960447151,0.668316832,0
GO:0071028,GO:0071028,nuclear mRNA surveillance,2/81,13/18722,0.001398139,0.220571821,0.207087369,EXOSC10/XRN1,2,0.653465347,1.960447151,0.668316832,0
GO:0031054,GO:0031054,pre-miRNA processing,2/81,14/18722,0.001626589,0.220571821,0.207087369,BCDIN3D/DROSHA,2,0.095709571,1.670724303,0.257425743,0
GO:0000768,GO:0000768,syncytium formation by plasma membrane fusion,3/81,55/18722,0.001740663,0.220571821,0.207087369,JAM2/SH3PXD2A/FLOT1,3,0.13,2.058660391,0.393333333,0
GO:0140253,GO:0140253,cell-cell fusion,3/81,55/18722,0.001740663,0.220571821,0.207087369,JAM2/SH3PXD2A/FLOT1,3,0.13,2.058660391,0.393333333,0
GO:0071025,GO:0071025,RNA surveillance,2/81,15/18722,0.001871573,0.220571821,0.207087369,EXOSC10/XRN1,2,0.643564356,1.960447151,0.668316832,0
GO:2000402,GO:2000402,negative regulation of lymphocyte migration,2/81,15/18722,0.001871573,0.220571821,0.207087369,AKT1/ADTRP,2,0.732673267,2.171266976,0.683168317,1
GO:0006949,GO:0006949,syncytium formation,3/81,57/18722,0.001929362,0.220571821,0.207087369,JAM2/SH3PXD2A/FLOT1,3,0.13,2.058660391,0.393333333,0
GO:0002573,GO:0002573,myeloid leukocyte differentiation,5/81,208/18722,0.002085779,0.220571821,0.207087369,GAB3/SLC9B2/TMEM64/SH3PXD2A/L3MBTL3,5,0.62585034,1.735863273,0.351020408,1
GO:0033013,GO:0033013,tetrapyrrole metabolic process,3/81,59/18722,0.002130344,0.220571821,0.207087369,CPOX/ABCB7/LMBRD1,3,0.733333333,1.836336406,0.523333333,0
GO:0061684,GO:0061684,chaperone-mediated autophagy,2/81,16/18722,0.002132947,0.220571821,0.207087369,EEF1A1/PLK3,2,0.947194719,2.806455862,0.871287129,0
GO:2000401,GO:2000401,regulation of lymphocyte migration,3/81,61/18722,0.002343881,0.223041071,0.209405664,JAM2/AKT1/ADTRP,3,0.49,1.906418042,0.46,1
GO:0008334,GO:0008334,histone mRNA metabolic process,2/81,17/18722,0.002410569,0.223041071,0.209405664,EXOSC10/XRN1,2,0.643564356,1.960447151,0.668316832,0
GO:0043217,GO:0043217,myelin maintenance,2/81,18/18722,0.002704297,0.237707666,0.223175631,AKT1/NDRG1,2,0.745874587,1.770945834,0.420792079,0
GO:0032211,GO:0032211,negative regulation of telomere maintenance via telomerase,2/81,20/18722,0.003339505,0.279564267,0.262473367,EXOSC10/XRN1,2,0.643564356,1.960447151,0.668316832,0
GO:0071676,GO:0071676,negative regulation of mononuclear cell migration,2/81,24/18722,0.004797041,0.383327186,0.359892837,AKT1/ADTRP,2,0.782178218,2.171266976,0.683168317,1
GO:0043094,GO:0043094,cellular metabolic compound salvage,2/81,26/18722,0.005617175,0.384213516,0.360724983,AMPD3/PRTFDC1,2,0.396039604,1.738076864,0.361386139,0
GO:0045672,GO:0045672,positive regulation of osteoclast differentiation,2/81,26/18722,0.005617175,0.384213516,0.360724983,SLC9B2/TMEM64,2,0.656765677,1.730696187,0.346534653,1
GO:0006783,GO:0006783,heme biosynthetic process,2/81,27/18722,0.006049611,0.384213516,0.360724983,CPOX/ABCB7,2,0.927392739,1.809193407,0.49009901,0
GO:0010586,GO:0010586,miRNA metabolic process,2/81,27/18722,0.006049611,0.384213516,0.360724983,BCDIN3D/DROSHA,2,0.095709571,1.670724303,0.257425743,0
GO:1904357,GO:1904357,negative regulation of telomere maintenance via telomere lengthening,2/81,27/18722,0.006049611,0.384213516,0.360724983,EXOSC10/XRN1,2,0.653465347,1.960447151,0.668316832,0
GO:0007141,GO:0007141,male meiosis I,2/81,28/18722,0.006496781,0.384213516,0.360724983,REC8/ZSCAN21,2,0.570957096,1.660773681,0.193069307,0
GO:0022011,GO:0022011,myelination in peripheral nervous system,2/81,29/18722,0.006958554,0.384213516,0.360724983,AKT1/NDRG1,2,0.745874587,1.770945834,0.420792079,0
GO:0032292,GO:0032292,peripheral nervous system axon ensheathment,2/81,29/18722,0.006958554,0.384213516,0.360724983,AKT1/NDRG1,2,0.739273927,1.770945834,0.420792079,0
GO:0030316,GO:0030316,osteoclast differentiation,3/81,94/18722,0.007883482,0.384213516,0.360724983,SLC9B2/TMEM64/SH3PXD2A,3,0.77,1.710115031,0.3,1
GO:0006779,GO:0006779,porphyrin-containing compound biosynthetic process,2/81,31/18722,0.00792538,0.384213516,0.360724983,CPOX/ABCB7,2,0.943894389,1.809193407,0.49009901,0
GO:0033014,GO:0033014,tetrapyrrole biosynthetic process,2/81,31/18722,0.00792538,0.384213516,0.360724983,CPOX/ABCB7,2,0.927392739,1.809193407,0.49009901,0
GO:0008593,GO:0008593,regulation of Notch signaling pathway,3/81,95/18722,0.008115516,0.384213516,0.360724983,LLGL2/AKT1/IL6ST,3,0.25,1.81926905,0.49,0
GO:0044264,GO:0044264,cellular polysaccharide metabolic process,3/81,96/18722,0.008351548,0.384213516,0.360724983,AKT1/IL6ST/B3GNT4,3,0.103333333,1.692005691,0.343333333,0
GO:0014044,GO:0014044,Schwann cell development,2/81,32/18722,0.008430173,0.384213516,0.360724983,AKT1/NDRG1,2,0.739273927,1.770945834,0.420792079,0
GO:0043276,GO:0043276,anoikis,2/81,34/18722,0.009481875,0.384213516,0.360724983,AKT1/TFDP1,2,0.415841584,1.798453086,0.465346535,0
GO:0055094,GO:0055094,response to lipoprotein particle,2/81,34/18722,0.009481875,0.384213516,0.360724983,AKT1/ADTRP,2,0.732673267,2.171266976,0.683168317,0
GO:1990542,GO:1990542,mitochondrial transmembrane transport,3/81,102/18722,0.009852496,0.384213516,0.360724983,SFXN1/ABCB7/AKT1,3,0.086666667,1.959802565,0.593333333,0
GO:0032205,GO:0032205,negative regulation of telomere maintenance,2/81,35/18722,0.010028527,0.384213516,0.360724983,EXOSC10/XRN1,2,0.653465347,1.960447151,0.668316832,0
GO:0071402,GO:0071402,cellular response to lipoprotein particle stimulus,2/81,36/18722,0.010588879,0.384213516,0.360724983,AKT1/ADTRP,2,0.732673267,2.171266976,0.683168317,0
GO:0040029,GO:0040029,"regulation of gene expression, epigenetic",3/81,105/18722,0.010658062,0.384213516,0.360724983,EXOSC10/MPHOSPH8/MTA1,3,0.016666667,1.93500511,0.636666667,0
GO:0001666,GO:0001666,response to hypoxia,5/81,307/18722,0.010666915,0.384213516,0.360724983,PLK3/AKT1/NDRG1/CASP1/ASCL2,5,0.823129252,2.374517321,0.706122449,0
GO:2000278,GO:2000278,regulation of DNA biosynthetic process,3/81,106/18722,0.010934827,0.384213516,0.360724983,EXOSC10/XRN1/TFDP1,3,0.876666667,1.909032383,0.61,0
GO:0005976,GO:0005976,polysaccharide metabolic process,3/81,107/18722,0.011215733,0.384213516,0.360724983,AKT1/IL6ST/B3GNT4,3,0.103333333,1.692005691,0.343333333,0
