,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,auc,avg_node_degree,degree_null_auc,is_immune
GO:0019886,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,7/93,30/18722,1.10E-10,2.14E-07,1.83E-07,CTSS/FCER1G/CD74/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,7,0.923611111,17.16131446,0.757440476,1
GO:0002495,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,7/93,34/18722,2.86E-10,2.78E-07,2.38E-07,CTSS/FCER1G/CD74/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,7,0.930555556,17.16131446,0.757440476,1
GO:0002504,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,7/93,36/18722,4.40E-10,2.86E-07,2.44E-07,CTSS/FCER1G/CD74/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,7,0.913194444,17.16131446,0.757440476,1
GO:0002478,GO:0002478,antigen processing and presentation of exogenous peptide antigen,7/93,38/18722,6.60E-10,3.21E-07,2.74E-07,CTSS/FCER1G/CD74/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,7,0.993055556,17.16131446,0.757440476,1
GO:0019884,GO:0019884,antigen processing and presentation of exogenous antigen,7/93,47/18722,3.17E-09,1.24E-06,1.05E-06,CTSS/FCER1G/CD74/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,7,0.930555556,17.16131446,0.757440476,1
GO:0048002,GO:0048002,antigen processing and presentation of peptide antigen,7/93,62/18722,2.34E-08,7.58E-06,6.47E-06,CTSS/FCER1G/CD74/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,7,0.930555556,17.16131446,0.757440476,1
GO:0019882,GO:0019882,antigen processing and presentation,7/93,106/18722,9.70E-07,0.000214601,0.000183083,CTSS/FCER1G/CD74/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,7,0.942708333,17.16131446,0.757440476,1
GO:0002399,GO:0002399,MHC class II protein complex assembly,4/93,16/18722,9.92E-07,0.000214601,0.000183083,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,4,0.993265993,14.77105229,0.686868687,0
GO:0002503,GO:0002503,peptide antigen assembly with MHC class II protein complex,4/93,16/18722,9.92E-07,0.000214601,0.000183083,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,4,0.993265993,14.77105229,0.686868687,1
GO:0002501,GO:0002501,peptide antigen assembly with MHC protein complex,4/93,18/18722,1.66E-06,0.000322268,0.000274938,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,4,0.993265993,14.77105229,0.686868687,1
GO:0002396,GO:0002396,MHC protein complex assembly,4/93,19/18722,2.09E-06,0.000369688,0.000315393,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,4,0.98989899,14.77105229,0.686868687,0
GO:0002286,GO:0002286,T cell activation involved in immune response,6/93,114/18722,2.21E-05,0.003372126,0.002876876,FCER1G/CD74/HLA-DRA/HLA-DRB1/RPS6/RORA,6,0.805841924,17.80538859,0.761168385,1
GO:0002440,GO:0002440,production of molecular mediator of immune response,9/93,308/18722,2.25E-05,0.003372126,0.002876876,NDFIP1/CD74/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/PMS2/DDX21/SCIMP,9,0.817966903,9.612752491,0.469267139,1
GO:0002381,GO:0002381,immunoglobulin production involved in immunoglobulin-mediated immune response,5/93,70/18722,2.55E-05,0.003539752,0.003019884,NDFIP1/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,5,0.765306122,12.52542734,0.6,1
GO:0002285,GO:0002285,lymphocyte activation involved in immune response,7/93,194/18722,5.14E-05,0.006291824,0.005367771,FCER1G/NDFIP1/CD74/HLA-DRA/HLA-DRB1/RPS6/RORA,7,0.821180556,15.76789416,0.688988095,1
GO:0002468,GO:0002468,dendritic cell antigen processing and presentation,3/93,15/18722,5.17E-05,0.006291824,0.005367771,CD74/HLA-DRA/HLA-DRB1,3,0.99,19.68219477,0.8,1
GO:0002443,GO:0002443,leukocyte mediated immunity,10/93,440/18722,6.58E-05,0.007502194,0.006400379,FCER1G/NDFIP1/FBXO38/CD74/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/DDX21/SCIMP,10,0.793309438,11.47047461,0.534408602,1
GO:0002460,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,9/93,356/18722,6.94E-05,0.007502194,0.006400379,FCER1G/NDFIP1/FBXO38/CD74/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/RORA,9,0.761229314,12.60328526,0.586288416,1
