,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,auc,avg_node_degree,degree_null_auc
hsa04145,hsa04145,Phagosome,11/59,152/8160,8.46E-09,1.68E-06,1.32E-06,ATP6V0B/CTSS/FCGR2A/FCGR3A/CD14/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/ACTB/RAC1,11,0.929951691,18.07124104,0.783596838
hsa05152,hsa05152,Tuberculosis,11/59,180/8160,4.94E-08,4.92E-06,3.85E-06,ATP6V0B/CTSS/FCER1G/FCGR2A/FCGR3A/CD14/CD74/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,11,0.927536232,17.93769747,0.789525692
hsa05140,hsa05140,Leishmaniasis,7/59,77/8160,1.16E-06,6.32E-05,4.95E-05,FCGR2A/FCGR3A/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/FOS,7,0.815972222,14.61562399,0.696428571
hsa04612,hsa04612,Antigen processing and presentation,7/59,78/8160,1.27E-06,6.32E-05,4.95E-05,CTSS/CD74/HSPA1B/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,7,0.848958333,13.82274159,0.654761905
hsa05310,hsa05310,Asthma,5/59,31/8160,2.45E-06,9.74E-05,7.62E-05,FCER1G/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,5,0.843537415,17.35570635,0.753061224
hsa05416,hsa05416,Viral myocarditis,6/59,60/8160,4.08E-06,0.000135208,0.000105849,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/ACTB/RAC1,6,0.934707904,17.20969944,0.742268041
hsa05323,hsa05323,Rheumatoid arthritis,6/59,93/8160,5.16E-05,0.001467722,0.001149024,ATP6V0B/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/FOS,6,0.929553265,15.69977789,0.711340206
hsa05150,hsa05150,Staphylococcus aureus infection,6/59,96/8160,6.17E-05,0.001536,0.001202476,FCGR2A/FCGR3A/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,6,0.848797251,14.88829654,0.699312715
hsa04640,hsa04640,Hematopoietic cell lineage,6/59,99/8160,7.34E-05,0.001622901,0.001270507,CD14/CSF1R/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,6,0.843642612,15.51844168,0.728522337
hsa05321,hsa05321,Inflammatory bowel disease,5/59,65/8160,9.86E-05,0.001961897,0.001535894,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/RORA,5,0.993197279,12.96359714,0.632653061
hsa04659,hsa04659,Th17 cell differentiation,6/59,108/8160,0.000119206,0.002156553,0.001688282,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/FOS/RORA,6,0.920962199,12.9662624,0.639175258
hsa05330,hsa05330,Allograft rejection,4/59,38/8160,0.000151475,0.002511954,0.001966512,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,4,0.993265993,14.77105229,0.686868687
hsa05332,hsa05332,Graft-versus-host disease,4/59,42/8160,0.000224796,0.003441105,0.002693909,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,4,0.993265993,14.77105229,0.686868687
hsa04940,hsa04940,Type I diabetes mellitus,4/59,43/8160,0.000246521,0.003504124,0.002743245,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,4,0.993265993,14.77105229,0.686868687
hsa04672,hsa04672,Intestinal immune network for IgA production,4/59,49/8160,0.000409796,0.005208947,0.004077885,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,4,0.993265993,14.77105229,0.686868687
