,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,auc,avg_node_degree,degree_null_auc,is_immune
GO:0016075,GO:0016075,rRNA catabolic process,3/83,21/18722,0.000105483,0.180586428,0.169549604,EXOSC10/XRN1/DROSHA,3,0.509803922,1.740790856,0.37254902,0
GO:0043101,GO:0043101,purine-containing compound salvage,2/83,10/18722,0.000853882,0.240549614,0.225848045,AMPD3/PRTFDC1,2,0.297734628,1.953305325,0.606796117,0
GO:0034661,GO:0034661,ncRNA catabolic process,3/83,43/18722,0.000912344,0.240549614,0.225848045,EXOSC10/XRN1/DROSHA,3,0.509803922,1.740790856,0.37254902,0
GO:0071044,GO:0071044,histone mRNA catabolic process,2/83,11/18722,0.001040631,0.240549614,0.225848045,EXOSC10/XRN1,2,0.734627832,1.706732002,0.300970874,0
GO:0072583,GO:0072583,clathrin-dependent endocytosis,3/83,47/18722,0.001183556,0.240549614,0.225848045,SLC9B2/CLTC/LMBRD1,3,0.532679739,2.529397871,0.72875817,0
GO:0140052,GO:0140052,cellular response to oxidised low-density lipoprotein particle stimulus,2/83,12/18722,0.001245165,0.240549614,0.225848045,AKT1/ADTRP,2,0.909385113,2.824218763,0.936893204,0
GO:0005976,GO:0005976,polysaccharide metabolic process,4/83,107/18722,0.001310355,0.240549614,0.225848045,AKT1/IL6ST/CLTC/B3GNT4,4,0.478547855,2.10989193,0.73019802,0
GO:0007140,GO:0007140,male meiotic nuclear division,3/83,50/18722,0.001417028,0.240549614,0.225848045,TDRKH/REC8/ZSCAN21,3,0.529411765,1.69921387,0.300653595,0
GO:0071027,GO:0071027,nuclear RNA surveillance,2/83,13/18722,0.001467328,0.240549614,0.225848045,EXOSC10/XRN1,2,0.741100324,1.706732002,0.300970874,0
GO:0071028,GO:0071028,nuclear mRNA surveillance,2/83,13/18722,0.001467328,0.240549614,0.225848045,EXOSC10/XRN1,2,0.741100324,1.706732002,0.300970874,0
GO:0031054,GO:0031054,pre-miRNA processing,2/83,14/18722,0.001706962,0.240549614,0.225848045,BCDIN3D/DROSHA,2,0.45631068,1.657472336,0.300970874,0
GO:0071025,GO:0071025,RNA surveillance,2/83,15/18722,0.001963912,0.240549614,0.225848045,EXOSC10/XRN1,2,0.734627832,1.706732002,0.300970874,0
GO:2000402,GO:2000402,negative regulation of lymphocyte migration,2/83,15/18722,0.001963912,0.240549614,0.225848045,AKT1/ADTRP,2,0.909385113,2.824218763,0.936893204,1
GO:0061684,GO:0061684,chaperone-mediated autophagy,2/83,16/18722,0.002238023,0.240549614,0.225848045,EEF1A1/PLK3,2,0.941747573,2.072670889,0.577669903,0
GO:0033013,GO:0033013,tetrapyrrole metabolic process,3/83,59/18722,0.002283971,0.240549614,0.225848045,CPOX/ABCB7/LMBRD1,3,0.549019608,2.062006399,0.692810458,0
GO:0002573,GO:0002573,myeloid leukocyte differentiation,5/83,208/18722,0.002321837,0.240549614,0.225848045,GAB3/SLC9B2/TMEM64/SH3PXD2A/L3MBTL3,5,0.783333333,2.749468492,0.786,1
GO:0001666,GO:0001666,response to hypoxia,6/83,307/18722,0.002427243,0.240549614,0.225848045,PLK3/ALKBH5/AKT1/NDRG1/CASP1/ASCL2,6,0.286195286,1.972879387,0.521885522,0
GO:0008334,GO:0008334,histone mRNA metabolic process,2/83,17/18722,0.002529143,0.240549614,0.225848045,EXOSC10/XRN1,2,0.741100324,1.706732002,0.300970874,0
GO:0043217,GO:0043217,myelin maintenance,2/83,18/18722,0.002837118,0.255639292,0.240015493,AKT1/NDRG1,2,0.223300971,2.122798897,0.616504854,0
GO:0036293,GO:0036293,response to decreased oxygen levels,6/83,322/18722,0.003073772,0.26311484,0.247034162,PLK3/ALKBH5/AKT1/NDRG1/CASP1/ASCL2,6,0.193602694,1.972879387,0.521885522,0
GO:0032211,GO:0032211,negative regulation of telomere maintenance via telomerase,2/83,20/18722,0.00350303,0.273161559,0.25646686,EXOSC10/XRN1,2,0.741100324,1.706732002,0.300970874,0
GO:0001649,GO:0001649,osteoblast differentiation,5/83,229/18722,0.003510254,0.273161559,0.25646686,AKT1/TMEM64/IL6ST/BMPR1A/CLTC,5,0.383333333,1.990657261,0.598,0
GO:0000271,GO:0000271,polysaccharide biosynthetic process,3/83,72/18722,0.004020675,0.29927808,0.280987228,AKT1/CLTC/B3GNT4,3,0.888888889,2.215422378,0.81372549,0
GO:0070482,GO:0070482,response to oxygen levels,6/83,347/18722,0.004427043,0.315795748,0.296495393,PLK3/ALKBH5/AKT1/NDRG1/CASP1/ASCL2,6,0.240740741,1.972879387,0.521885522,0
GO:0071676,GO:0071676,negative regulation of mononuclear cell migration,2/83,24/18722,0.005030519,0.344489937,0.323435891,AKT1/ADTRP,2,0.909385113,2.824218763,0.936893204,1
GO:0043094,GO:0043094,cellular metabolic compound salvage,2/83,26/18722,0.005889742,0.360758563,0.338710235,AMPD3/PRTFDC1,2,0.297734628,1.953305325,0.606796117,0
GO:0045672,GO:0045672,positive regulation of osteoclast differentiation,2/83,26/18722,0.005889742,0.360758563,0.338710235,SLC9B2/TMEM64,2,0.029126214,2.763424261,0.72815534,1
GO:0006783,GO:0006783,heme biosynthetic process,2/83,27/18722,0.006342715,0.360758563,0.338710235,CPOX/ABCB7,2,0.757281553,2.215352733,0.834951456,0
GO:0010586,GO:0010586,miRNA metabolic process,2/83,27/18722,0.006342715,0.360758563,0.338710235,BCDIN3D/DROSHA,2,0.533980583,1.657472336,0.300970874,0
GO:1904357,GO:1904357,negative regulation of telomere maintenance via telomere lengthening,2/83,27/18722,0.006342715,0.360758563,0.338710235,EXOSC10/XRN1,2,0.741100324,1.706732002,0.300970874,0
GO:1903510,GO:1903510,mucopolysaccharide metabolic process,3/83,86/18722,0.006600109,0.360758563,0.338710235,AKT1/CLTC/B3GNT4,3,0.888888889,2.215422378,0.81372549,0
GO:0007141,GO:0007141,male meiosis I,2/83,28/18722,0.006811073,0.360758563,0.338710235,REC8/ZSCAN21,2,0.582524272,1.72512943,0.349514563,0
GO:0022011,GO:0022011,myelination in peripheral nervous system,2/83,29/18722,0.007294672,0.360758563,0.338710235,AKT1/NDRG1,2,0.27184466,2.122798897,0.616504854,0
GO:0032292,GO:0032292,peripheral nervous system axon ensheathment,2/83,29/18722,0.007294672,0.360758563,0.338710235,AKT1/NDRG1,2,0.223300971,2.122798897,0.616504854,0
GO:0006401,GO:0006401,RNA catabolic process,5/83,278/18722,0.007887586,0.360758563,0.338710235,EXOSC10/ALKBH5/AKT1/XRN1/DROSHA,5,0.41,1.924507379,0.522,0
GO:0006779,GO:0006779,porphyrin-containing compound biosynthetic process,2/83,31/18722,0.008307035,0.360758563,0.338710235,CPOX/ABCB7,2,0.757281553,2.215352733,0.834951456,0
GO:0030212,GO:0030212,hyaluronan metabolic process,2/83,31/18722,0.008307035,0.360758563,0.338710235,AKT1/CLTC,2,0.919093851,2.325245647,0.86407767,0
