,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,auc,avg_node_degree,degree_null_auc,is_immune
GO:0034341,GO:0034341,response to interferon-gamma,12/95,141/18722,6.64E-12,1.48E-08,1.18E-08,GBP1/GBP4/GBP5/KYNU/SNCA/AIF1/HLA-DPA1/IFITM3/CASP1/CXCL16/CCL2/IFNGR2,12,0.573476703,17.34635344,0.677419355,1
GO:0042110,GO:0042110,T cell activation,18/95,487/18722,3.81E-11,4.24E-08,3.38E-08,SLAMF7/CD86/CD83/AIF1/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/FGL2/CTSL/SPI1/PTPN6/TNFSF13B/ZFP36L1/CCL2/ADA/CEBPB,18,0.799489144,15.94054555,0.618773946,1
GO:0019886,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,7/95,30/18722,1.28E-10,9.48E-08,7.57E-08,CTSS/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/CTSL,7,0.845238095,16.21644792,0.625364431,1
GO:0002495,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,7/95,34/18722,3.33E-10,1.85E-07,1.48E-07,CTSS/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/CTSL,7,0.947278912,16.21644792,0.625364431,1
GO:0002504,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,7/95,36/18722,5.12E-10,2.13E-07,1.70E-07,CTSS/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/CTSL,7,0.840136054,16.21644792,0.625364431,1
GO:0002478,GO:0002478,antigen processing and presentation of exogenous peptide antigen,7/95,38/18722,7.68E-10,2.13E-07,1.70E-07,CTSS/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/CTSL,7,0.845238095,16.21644792,0.625364431,1
GO:0051607,GO:0051607,defense response to virus,13/95,265/18722,8.48E-10,2.13E-07,1.70E-07,IFI6/GBP1/PLSCR1/CXCL10/FGL2/IFIT3/IFITM3/IRF7/OAS1/IFI27/APOBEC3A/IFNGR2/MX1,13,0.852355072,14.17874356,0.540133779,1
GO:0140546,GO:0140546,defense response to symbiont,13/95,265/18722,8.48E-10,2.13E-07,1.70E-07,IFI6/GBP1/PLSCR1/CXCL10/FGL2/IFIT3/IFITM3/IRF7/OAS1/IFI27/APOBEC3A/IFNGR2/MX1,13,0.860507246,14.17874356,0.540133779,1
GO:0022407,GO:0022407,regulation of cell-cell adhesion,16/95,448/18722,8.64E-10,2.13E-07,1.70E-07,CD86/CD83/AIF1/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/FGL2/SPI1/PTPN6/TNFSF13B/CCL2/ADA/CEBPB/PLAUR,16,0.776029963,17.29121782,0.679073034,0
GO:0050870,GO:0050870,positive regulation of T cell activation,12/95,216/18722,9.66E-10,2.15E-07,1.71E-07,CD86/CD83/AIF1/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/PTPN6/TNFSF13B/CCL2/ADA,12,0.778673835,15.16937385,0.585125448,1
GO:0050863,GO:0050863,regulation of T cell activation,14/95,329/18722,1.15E-09,2.33E-07,1.86E-07,CD86/CD83/AIF1/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/FGL2/PTPN6/TNFSF13B/CCL2/ADA/CEBPB,14,0.737179487,15.99107622,0.62244898,1
GO:1903037,GO:1903037,regulation of leukocyte cell-cell adhesion,14/95,336/18722,1.51E-09,2.80E-07,2.24E-07,CD86/CD83/AIF1/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/FGL2/PTPN6/TNFSF13B/CCL2/ADA/CEBPB,14,0.737179487,15.99107622,0.62244898,0
GO:0019221,GO:0019221,cytokine-mediated signaling pathway,16/95,472/18722,1.83E-09,3.13E-07,2.49E-07,LIMS1/PF4/PPBP/CXCL10/IFITM3/IRF7/SPI1/CASP1/CARD16/PTPN6/OAS1/TNFSF13B/IFI27/CCL2/IFNGR2/MX1,16,0.477902622,14.32992725,0.542134831,0
GO:0022409,GO:0022409,positive regulation of cell-cell adhesion,13/95,284/18722,1.97E-09,3.13E-07,2.49E-07,CD86/CD83/AIF1/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/PTPN6/TNFSF13B/CCL2/ADA/PLAUR,13,0.704710145,16.03189854,0.620401338,0
