,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,auc,avg_node_degree,degree_null_auc
hsa04625,hsa04625,C-type lectin receptor signaling pathway,3/37,104/8160,0.011414535,0.579332306,0.577514951,PLK3/AKT1/CASP1,3,0.62745098,2.571906111,0.738562092
hsa04550,hsa04550,Signaling pathways regulating pluripotency of stem cells,3/37,143/8160,0.026521413,0.579332306,0.577514951,AKT1/IL6ST/BMPR1A,3,0.166666667,1.74577933,0.385620915
hsa05134,hsa05134,Legionellosis,2/37,57/8160,0.027308512,0.579332306,0.577514951,EEF1A1/CASP1,2,0.242718447,3.701917352,0.980582524
hsa04213,hsa04213,Longevity regulating pathway - multiple species,2/37,62/8160,0.031903263,0.579332306,0.577514951,AKT1/CLPB,2,0.491909385,1.819665112,0.485436893
hsa04218,hsa04218,Cellular senescence,3/37,156/8160,0.033142416,0.579332306,0.577514951,HLA-B/AKT1/RAD9B,3,0.562091503,2.508723501,0.506535948
hsa04630,hsa04630,JAK-STAT signaling pathway,3/37,162/8160,0.036464778,0.579332306,0.577514951,CISH/AKT1/IL6ST,3,0.326797386,1.771520651,0.39869281
hsa04917,hsa04917,Prolactin signaling pathway,2/37,70/8160,0.039836833,0.579332306,0.577514951,CISH/AKT1,2,0.647249191,1.717277558,0.310679612
hsa03018,hsa03018,RNA degradation,2/37,79/8160,0.049555184,0.579332306,0.577514951,EXOSC10/XRN1,2,0.656957929,1.97872575,0.674757282
hsa05167,hsa05167,Kaposi sarcoma-associated herpesvirus infection,3/37,194/8160,0.056958839,0.579332306,0.577514951,HLA-B/AKT1/IL6ST,3,0.183006536,2.642754895,0.679738562
hsa00604,hsa00604,Glycosphingolipid biosynthesis - ganglio series,1/37,15/8160,0.065952565,0.579332306,0.577514951,ST6GALNAC6,1,0.5,1.962434638,0.653846154
hsa04350,hsa04350,TGF-beta signaling pathway,2/37,94/8160,0.067415569,0.579332306,0.577514951,BMPR1A/TFDP1,2,0.521035599,1.698993945,0.32038835
hsa05168,hsa05168,Herpes simplex virus 1 infection,5/37,495/8160,0.070743852,0.579332306,0.577514951,HLA-B/ZFP69/AKT1/ZNF23/ZNF573,5,0.346666667,2.214587998,0.458
hsa00450,hsa00450,Selenocompound metabolism,1/37,17/8160,0.074419936,0.579332306,0.577514951,TXNRD1,1,0.5,2.943732774,0.942307692
hsa05171,hsa05171,Coronavirus disease - COVID-19,3/37,232/8160,0.087002424,0.579332306,0.577514951,IL6ST/CASP1/RPS23,3,0.673202614,3.252698375,0.85620915
hsa03008,hsa03008,Ribosome biogenesis in eukaryotes,2/37,109/8160,0.087069315,0.579332306,0.577514951,XRN1/DROSHA,2,0.148867314,1.822069349,0.441747573
hsa04977,hsa04977,Vitamin digestion and absorption,1/37,24/8160,0.103471647,0.579332306,0.577514951,LMBRD1,1,0.5,1.900071792,0.596153846
hsa00601,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,1/37,27/8160,0.115648994,0.579332306,0.577514951,B3GNT4,1,0.5,1.413328065,0.038461538
hsa04068,hsa04068,FoxO signaling pathway,2/37,131/8160,0.1185185,0.579332306,0.577514951,PLK3/AKT1,2,0.608414239,1.938635241,0.611650485
hsa04910,hsa04910,Insulin signaling pathway,2/37,137/8160,0.127541468,0.579332306,0.577514951,AKT1/FLOT1,2,0.915857605,2.465741962,0.703883495
hsa05135,hsa05135,Yersinia infection,2/37,137/8160,0.127541468,0.579332306,0.577514951,AKT1/CASP1,2,0.553398058,2.816477197,0.718446602
hsa05418,hsa05418,Fluid shear stress and atherosclerosis,2/37,139/8160,0.130585736,0.579332306,0.577514951,AKT1/BMPR1A,2,0.297734628,1.678665576,0.291262136
hsa04060,hsa04060,Cytokine-cytokine receptor interaction,3/37,295/8160,0.148337471,0.579332306,0.577514951,TNFRSF13B/IL6ST/BMPR1A,3,0.702614379,1.897914773,0.513071895
hsa04390,hsa04390,Hippo signaling pathway,2/37,157/8160,0.158703275,0.579332306,0.577514951,LLGL2/BMPR1A,2,0.187702265,1.706745593,0.330097087
hsa04514,hsa04514,Cell adhesion molecules,2/37,157/8160,0.158703275,0.579332306,0.577514951,HLA-B/JAM2,2,0.501618123,2.815596152,0.514563107
hsa05330,hsa05330,Allograft rejection,1/37,38/8160,0.158937558,0.579332306,0.577514951,HLA-B,1,0.5,4.253751305,1
hsa05340,hsa05340,Primary immunodeficiency,1/37,38/8160,0.158937558,0.579332306,0.577514951,TNFRSF13B,1,0.5,2.250912875,0.826923077
hsa05332,hsa05332,Graft-versus-host disease,1/37,42/8160,0.174161877,0.579332306,0.577514951,HLA-B,1,0.5,4.253751305,1
hsa05225,hsa05225,Hepatocellular carcinoma,2/37,168/8160,0.17642015,0.579332306,0.577514951,AKT1/TXNRD1,2,0.165048544,2.369119659,0.699029126
hsa00860,hsa00860,Porphyrin metabolism,1/37,43/8160,0.17792586,0.579332306,0.577514951,CPOX,1,0.5,1.820858912,0.490384615
hsa04940,hsa04940,Type I diabetes mellitus,1/37,43/8160,0.17792586,0.579332306,0.577514951,HLA-B,1,0.5,4.253751305,1
hsa04530,hsa04530,Tight junction,2/37,169/8160,0.178047319,0.579332306,0.577514951,LLGL2/JAM2,2,0.148867314,1.614053788,0.276699029
hsa05164,hsa05164,Influenza A,2/37,171/8160,0.181309151,0.579332306,0.577514951,AKT1/CASP1,2,0.533980583,2.816477197,0.718446602
hsa02010,hsa02010,ABC transporters,1/37,45/8160,0.185403815,0.579332306,0.577514951,ABCB7,1,0.5,1.819292361,0.480769231
hsa05165,hsa05165,Human papillomavirus infection,3/37,331/8160,0.188388176,0.579332306,0.577514951,LLGL2/HLA-B/AKT1,3,0.418300654,2.632974809,0.663398693
hsa04973,hsa04973,Carbohydrate digestion and absorption,1/37,47/8160,0.192815571,0.579332306,0.577514951,AKT1,1,0.5,1.794506544,0.451923077
hsa05152,hsa05152,Tuberculosis,2/37,180/8160,0.196100535,0.579332306,0.577514951,PLK3/AKT1,2,0.608414239,1.938635241,0.611650485
hsa04672,hsa04672,Intestinal immune network for IgA production,1/37,49/8160,0.200161695,0.579332306,0.577514951,TNFRSF13B,1,0.5,2.250912875,0.826923077
hsa00330,hsa00330,Arginine and proline metabolism,1/37,51/8160,0.207442754,0.579332306,0.577514951,ODC1,1,0.5,2.122329481,0.788461538
hsa04613,hsa04613,Neutrophil extracellular trap formation,2/37,190/8160,0.212718676,0.579332306,0.577514951,AKT1/CASP1,2,0.533980583,2.816477197,0.718446602
hsa05320,hsa05320,Autoimmune thyroid disease,1/37,53/8160,0.214659307,0.579332306,0.577514951,HLA-B,1,0.5,4.253751305,1
hsa00480,hsa00480,Glutathione metabolism,1/37,57/8160,0.228901117,0.579332306,0.577514951,ODC1,1,0.5,2.122329481,0.788461538
hsa04923,hsa04923,Regulation of lipolysis in adipocytes,1/37,57/8160,0.228901117,0.579332306,0.577514951,AKT1,1,0.5,1.794506544,0.451923077
hsa05213,hsa05213,Endometrial cancer,1/37,58/8160,0.232422117,0.579332306,0.577514951,AKT1,1,0.5,1.794506544,0.451923077
