,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,auc,avg_node_degree,degree_null_auc
hsa05164,hsa05164,Influenza A,13/71,171/8160,1.92E-09,3.02E-07,2.27E-07,TNFSF10/CXCL10/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/IRF7/CASP1/OAS1/CCL2/IFNGR2/MX1,13,0.689311594,13.77345309,0.512541806
hsa04145,hsa04145,Phagosome,12/71,152/8160,5.61E-09,4.41E-07,3.31E-07,CTSS/FCGR3A/TUBA4A/CD14/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/NCF1/CTSL/TUBB1,12,0.674731183,15.16408443,0.568996416
hsa05140,hsa05140,Leishmaniasis,9/71,77/8160,1.71E-08,8.95E-07,6.72E-07,FCGR3A/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/NCF1/PTPN6/IFNGR2,9,0.892361111,15.23996527,0.575231481
hsa05323,hsa05323,Rheumatoid arthritis,9/71,93/8160,9.13E-08,3.58E-06,2.69E-06,CD86/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/CTSL/TNFSF13B/CCL2,9,0.739583333,15.64673577,0.603009259
hsa04672,hsa04672,Intestinal immune network for IgA production,7/71,49/8160,1.79E-07,5.63E-06,4.23E-06,CD86/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/TNFSF13B,7,0.914965986,15.07683238,0.577259475
hsa04612,hsa04612,Antigen processing and presentation,8/71,78/8160,3.17E-07,8.29E-06,6.22E-06,CTSS/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/CTSB/CTSL,8,0.931271478,17.180441,0.667525773
hsa05330,hsa05330,Allograft rejection,6/71,38/8160,7.76E-07,1.74E-05,1.31E-05,CD86/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1,6,0.897306397,15.28556353,0.587542088
hsa05332,hsa05332,Graft-versus-host disease,6/71,42/8160,1.43E-06,2.60E-05,1.95E-05,CD86/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1,6,0.898989899,15.28556353,0.587542088
hsa05150,hsa05150,Staphylococcus aureus infection,8/71,96/8160,1.58E-06,2.60E-05,1.95E-05,FCGR3A/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/C3AR1/CFD,8,0.711340206,17.28554714,0.670103093
hsa04940,hsa04940,Type I diabetes mellitus,6/71,43/8160,1.66E-06,2.60E-05,1.95E-05,CD86/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1,6,0.897306397,15.28556353,0.587542088
hsa05152,hsa05152,Tuberculosis,10/71,180/8160,3.06E-06,4.37E-05,3.28E-05,CTSS/FCGR3A/CD14/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/CEBPB/IFNGR2,10,0.876023392,18.06295661,0.705263158
hsa04621,hsa04621,NOD-like receptor signaling pathway,10/71,184/8160,3.73E-06,4.88E-05,3.66E-05,GBP1/GBP4/GBP5/CTSB/TXN/IRF7/CASP1/CARD16/OAS1/CCL2,10,0.562573099,15.97492404,0.613684211
hsa05320,hsa05320,Autoimmune thyroid disease,6/71,53/8160,5.82E-06,6.91E-05,5.19E-05,CD86/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1,6,0.900673401,15.28556353,0.587542088
hsa05310,hsa05310,Asthma,5/71,31/8160,6.16E-06,6.91E-05,5.19E-05,HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1,5,0.96,14.57719893,0.548
hsa05416,hsa05416,Viral myocarditis,6/71,60/8160,1.21E-05,0.000126679,9.51E-05,CD86/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1,6,0.900673401,15.28556353,0.587542088
hsa05321,hsa05321,Inflammatory bowel disease,6/71,65/8160,1.93E-05,0.000189354,0.00014219,HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/IFNGR2,6,0.944444444,15.09973938,0.569023569
hsa04640,hsa04640,Hematopoietic cell lineage,7/71,99/8160,2.20E-05,0.000203463,0.000152785,CD14/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/CD37,7,0.843537415,14.725655,0.55393586
hsa04658,hsa04658,Th1 and Th2 cell differentiation,6/71,92/8160,0.000138522,0.001208219,0.000907278,HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/IFNGR2,6,0.937710438,15.09973938,0.569023569
hsa05322,hsa05322,Systemic lupus erythematosus,7/71,136/8160,0.000167416,0.001383383,0.001038812,FCGR3A/CD86/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1,7,0.909863946,16.21452671,0.628279883
hsa04659,hsa04659,Th17 cell differentiation,6/71,108/8160,0.000333273,0.002563192,0.001924757,HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/IFNGR2,6,0.936026936,15.09973938,0.569023569
hsa05169,hsa05169,Epstein-Barr virus infection,8/71,202/8160,0.000342847,0.002563192,0.001924757,CXCL10/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/IRF7/OAS1,8,0.778350515,14.05523285,0.524484536
hsa05145,hsa05145,Toxoplasmosis,6/71,112/8160,0.000405458,0.002893495,0.002172789,HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/IFNGR2,6,0.942760943,15.09973938,0.569023569
hsa04610,hsa04610,Complement and coagulation cascades,5/71,85/8160,0.000827115,0.005645956,0.004239672,CLU/C3AR1/SERPINA1/CFD/PLAUR,5,0.666666667,19.09595481,0.712
hsa05144,hsa05144,Malaria,4/71,50/8160,0.000896155,0.00586235,0.004402167,HBB/HBA2/HBA1/CCL2,4,0.712871287,7.346883294,0.183168317
hsa04210,hsa04210,Apoptosis,6/71,136/8160,0.001130894,0.007102014,0.005333058,CTSS/TUBA4A/TNFSF10/CTSB/CTSL/CTSC,6,0.513468013,14.52587037,0.543771044
hsa04062,hsa04062,Chemokine signaling pathway,7/71,192/8160,0.001333614,0.008052978,0.006047157,PF4/PPBP/CXCL10/NCF1/GNG11/CXCL16/CCL2,7,0.544217687,11.6216802,0.415451895
hsa04061,hsa04061,Viral protein interaction with cytokine and cytokine receptor,5/71,100/8160,0.001716776,0.009982737,0.007496256,TNFSF10/PF4/PPBP/CXCL10/CCL2,5,0.556666667,9.688190936,0.342
